,symbol,exchange,name,date,type,iexId,region,currency,isEnabled,figi,cik
8243,VBF,NYS,Invesco Bond Fund,2020-03-28,cef,IEX_4254343531372D52,US,USD,True,BBG000DPTFZ6,
8244,VBFC,NAS,Village Bank and Trust Financial Corp.,2020-03-28,cs,IEX_50534D58374B2D52,US,USD,True,BBG000CMM9X7,1290476
8245,VBIV,NAS,VBI Vaccines Inc.,2020-03-28,cs,IEX_4B57385158562D52,US,USD,True,BBG000BB3S61,764195
8246,VBK,PSE,Vanguard Small-Cap Growth ETF,2020-03-28,et,IEX_4B54304C34302D52,US,USD,True,BBG000HT5K89,
8247,VBLT,NAS,Vascular Biogenics Ltd.,2020-03-28,cs,IEX_51595A5A46582D52,US,USD,True,BBG002WK6CM8,1603207
8248,VBND,PSE,Vident Core U.S. Bond Strategy ETF,2020-03-28,et,IEX_4E4C473536372D52,US,USD,True,BBG007BBY8M8,
8249,VBR,PSE,Vanguard Small Cap Value ETF,2020-03-28,et,IEX_5337564430502D52,US,USD,True,BBG000HX5MQ6,
8250,VBTX,NAS,Veritex Holdings Inc.,2020-03-28,cs,IEX_4839584E484D2D52,US,USD,True,BBG000QG9SX8,1501570
8251,VC,NAS,Visteon Corporation,2020-03-28,cs,IEX_4259535837362D52,US,USD,True,BBG0016T3GQ0,1111335
8252,VCEL,NAS,Vericel Corporation,2020-03-28,cs,IEX_4B474D4D31562D52,US,USD,True,BBG000BDCM24,887359
8253,VCF,ASE,Delaware Investments Colorado Municipal Income Fund Inc,2020-03-28,cef,IEX_43514448444E2D52,US,USD,True,BBG000BHS106,
8254,VCIF,NYS,Vertical Capital Income Fund A of Beneficial Interest,2020-03-28,cef,IEX_4C585A54334E2D52,US,USD,True,BBG0038Q3183,
8255,VCIT,NAS,Vanguard Intermediate-Term Corporate Bond ETF,2020-03-28,et,IEX_4858313258342D52,US,USD,True,BBG000PWYVH7,
8256,VCLT,NAS,Vanguard Long-Term Corporate Bond ETF,2020-03-28,et,IEX_4A4836375A4E2D52,US,USD,True,BBG000PWZHX9,
8257,VCNX,NAS,Vaccinex Inc.,2020-03-28,cs,IEX_4A56564337322D52,US,USD,True,BBG00469NFK4,1747866
8258,VCR,PSE,Vanguard Consumer Discretionary ETF,2020-03-28,et,IEX_545A365034362D52,US,USD,True,BBG000HX4281,
8259,VCRA,NYS,Vocera Communications Inc.,2020-03-28,cs,IEX_5750344E57372D52,US,USD,True,BBG00179VSY7,1129260
8260,VCSH,NAS,Vanguard Short-Term Corporate Bond ETF,2020-03-28,et,IEX_43535659424A2D52,US,USD,True,BBG000PWXXY5,
8261,VCTR,NAS,Victory Capital Holdings Inc. Class A,2020-03-28,cs,IEX_4B4D4D3133392D52,US,USD,True,BBG0074JPF34,1570827
8262,VCV,NYS,Invesco California Value Municipal Income Trust,2020-03-28,cef,IEX_4631463047592D52,US,USD,True,BBG000BFVK04,
8263,VCYT,NAS,Veracyte Inc,2020-03-28,cs,IEX_4B5A3844545A2D52,US,USD,True,BBG001J2M542,1384101
